Model Year,Division,Carline,Eng Displ,# Cyl,City FE,Hwy FE,Comb FE
2016,ALFA ROMEO,4C,1.8,4,24,34,28
2016,Aston Martin Lagonda Ltd,V12 Vantage S,6.0,12,12,18,14
2016,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,14,21,16
2016,Aston Martin Lagonda Ltd,V8 Vantage,4.7,8,13,19,15
2016,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,14,21,16
2016,Aston Martin Lagonda Ltd,V8 Vantage S,4.7,8,13,19,15
2016,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,14,21,16
2016,Aston Martin Lagonda Ltd,Vantage GT,4.7,8,13,19,15
2016,Audi,TT Roadster quattro,2.0,4,23,30,26
2016,BMW,M4 GTS,3.0,6,16,23,19
2016,BMW,Z4 sDrive28i,2.0,4,22,33,26
2016,BMW,Z4 sDrive28i,2.0,4,22,34,26
2016,BMW,Z4 sDrive35i,3.0,6,17,24,20
2016,BMW,Z4 sDrive35is,3.0,6,17,24,20
2016,Chevrolet,CORVETTE,6.2,8,13,23,16
2016,Chevrolet,CORVETTE,6.2,8,16,29,20
2016,Chevrolet,CORVETTE,6.2,8,15,22,18
2016,Chevrolet,CORVETTE,6.2,8,17,29,21
2016,Dodge,Viper SRT,8.4,10,12,21,15
2016,Ferrari,488 GTB,3.9,8,15,22,18
2016,Ferrari,488 GTB,3.9,8,16,22,18
2016,Ferrari,F12,6.3,12,11,16,13
2016,Ferrari,F12,6.3,12,12,16,13
2016,Ferrari,F12 tdf,6.3,12,12,17,13
2016,Ferrari,F12 tdf,6.3,12,11,15,12
2016,Ferrari,F60 America,6.3,12,12,15,13
2016,Ferrari,F60 America,6.3,12,11,15,13
2016,Honda,CR-Z,1.5,4,36,39,37
2016,Honda,CR-Z,1.5,4,31,38,34
2016,Jaguar,F-TYPE Convertible,3.0,6,19,28,22
2016,Jaguar,F-TYPE Convertible Manual,3.0,6,16,24,19
2016,Jaguar,F-TYPE Coupe,3.0,6,19,28,22
2016,Jaguar,F-TYPE Coupe Manual,3.0,6,16,24,19
2016,Jaguar,F-TYPE R AWD Convertible,5.0,8,15,23,18
2016,Jaguar,F-TYPE R AWD Coupe,5.0,8,15,23,18
2016,Jaguar,F-TYPE R Convertible,5.0,8,16,23,18
2016,Jaguar,F-TYPE S AWD Convertible,3.0,6,18,26,21
2016,Jaguar,F-TYPE S AWD Coupe,3.0,6,18,26,21
2016,Jaguar,F-TYPE S Convertible,3.0,6,19,27,22
2016,Jaguar,F-TYPE S Convertible Manual,3.0,6,15,24,18
2016,Jaguar,F-TYPE S Coupe,3.0,6,19,27,22
2016,Jaguar,F-TYPE S Coupe Manual,3.0,6,15,24,18
2016,Lamborghini,Aventador Coupe,6.5,12,11,18,13
2016,Lamborghini,Aventador Roadster,6.5,12,10,17,12
2016,Lamborghini,Huracan,5.2,10,14,21,17
2016,Lamborghini,Huracan Spyder,5.2,10,14,20,16
2016,MAZDA,MX-5,2.0,4,27,36,30
2016,MAZDA,MX-5,2.0,4,27,34,30
2016,McLaren,570S Coupe,3.8,8,16,23,19
2016,McLaren,650S Coupe,3.8,8,16,22,18
2016,McLaren,650S Spider,3.8,8,16,22,18
2016,McLaren,675LT Coupe,3.8,8,16,22,18
2016,Mercedes-Benz,AMG GT S,4.0,8,16,22,18
2016,Mercedes-Benz,AMG SL 63,5.5,8,16,25,19
2016,Mercedes-Benz,AMG SL 65,6.0,12,14,21,17
2016,Mercedes-Benz,AMG SLK 55,5.5,8,19,28,22
2016,Mercedes-Benz,SL 400,3.0,6,20,27,23
2016,Mercedes-Benz,SL 550,4.7,8,16,24,19
2016,Mercedes-Benz,SLK 300,2.0,4,25,32,28
2016,Mercedes-Benz,SLK 350,3.5,6,21,29,24
2016,Mercedes-Benz,Smart fortwo (COUPE),0.9,3,34,39,36
2016,Mercedes-Benz,Smart fortwo (COUPE),0.9,3,32,39,35
2016,NISSAN,370Z,3.7,6,19,26,21
2016,NISSAN,370Z,3.7,6,18,26,21
2016,NISSAN,370Z Roadster,3.7,6,18,25,21
2016,NISSAN,370Z Roadster,3.7,6,17,24,20
2016,Pagani Automobili S.p.A.,Huayra Coupe,6.0,12,11,17,13
2016,Porsche,911 GT3,3.8,6,15,20,17
2016,Porsche,911 GT3RS,4.0,6,14,20,16
2016,Porsche,Boxster,2.7,6,22,32,26
2016,Porsche,Boxster,2.7,6,20,30,24
2016,Porsche,Boxster GTS,3.4,6,22,31,25
2016,Porsche,Boxster GTS,3.4,6,19,26,22
2016,Porsche,Boxster S,3.4,6,21,30,24
2016,Porsche,Boxster S,3.4,6,20,28,23
2016,Porsche,Boxster Spyder,3.8,6,18,24,20
2016,Porsche,Cayman,2.7,6,22,32,26
2016,Porsche,Cayman,2.7,6,20,30,24
2016,Porsche,Cayman GT4,3.8,6,18,23,20
2016,Porsche,Cayman GTS,3.4,6,22,31,25
2016,Porsche,Cayman GTS,3.4,6,19,26,22
2016,Porsche,Cayman S,3.4,6,21,30,24
2016,Porsche,Cayman S,3.4,6,20,28,23
2016,Aston Martin Lagonda Ltd,DB9,5.9,12,13,19,15
2016,Aston Martin Lagonda Ltd,Vanquish,6.0,12,13,21,16
2016,Ferrari,California T,3.9,8,16,23,19
2016,Ferrari,California T,3.9,8,16,23,18
2016,FIAT,500,1.4,4,24,32,27
2016,FIAT,500,1.4,4,27,34,30
2016,FIAT,500,1.4,4,28,34,30
2016,FIAT,500,1.4,4,31,40,34
2016,FIAT,500 Abarth,1.4,4,24,32,27
2016,FIAT,500 Abarth,1.4,4,28,34,30
2016,Mini,Mini Cooper Convertible,1.5,4,27,37,31
2016,Mini,Mini Cooper Convertible,1.5,4,27,38,31
2016,Mini,Mini Cooper S Convertible,2.0,4,25,34,29
2016,Mini,Mini Cooper S Convertible,2.0,4,23,33,27
2016,Porsche,911 Carrera,3.4,6,20,28,23
2016,Porsche,911 Carrera,3.4,6,19,27,22
2016,Porsche,911 Carrera 4,3.4,6,20,28,23
2016,Porsche,911 Carrera 4,3.4,6,19,27,22
2016,Porsche,911 Carrera 4 Cabriolet,3.4,6,20,27,22
2016,Porsche,911 Carrera 4 Cabriolet,3.4,6,19,26,22
2016,Porsche,911 Carrera 4 GTS,3.8,6,19,26,21
2016,Porsche,911 Carrera 4 GTS,3.8,6,18,26,21
2016,Porsche,911 Carrera 4 GTS Cabriolet,3.8,6,18,25,21
2016,Porsche,911 Carrera 4 GTS Cabriolet,3.8,6,18,25,20
2016,Porsche,911 Carrera 4S,3.8,6,19,26,22
2016,Porsche,911 Carrera 4S,3.8,6,19,26,21
2016,Porsche,911 Carrera 4S Cabriolet,3.8,6,19,26,21
2016,Porsche,911 Carrera 4S Cabriolet,3.8,6,18,26,21
2016,Porsche,911 Carrera Cabriolet,3.4,6,21,28,23
2016,Porsche,911 Carrera Cabriolet,3.4,6,19,27,22
2016,Porsche,911 Carrera GTS,3.8,6,19,26,21
2016,Porsche,911 Carrera GTS,3.8,6,18,26,21
2016,Porsche,911 Carrera GTS Cabriolet,3.8,6,19,26,21
2016,Porsche,911 Carrera GTS Cabriolet,3.8,6,18,25,20
2016,Porsche,911 Carrera S,3.8,6,20,27,23
2016,Porsche,911 Carrera S,3.8,6,19,27,22
2016,Porsche,911 Carrera S Cabriolet,3.8,6,19,27,22
2016,Porsche,911 Carrera S Cabriolet,3.8,6,19,27,22
2016,Porsche,911 Targa 4,3.4,6,19,26,22
2016,Porsche,911 Targa 4,3.4,6,18,26,21
2016,Porsche,911 Targa 4 GTS,3.8,6,18,25,21
2016,Porsche,911 Targa 4 GTS,3.8,6,18,26,21
2016,Porsche,911 Targa 4S,3.8,6,18,25,21
2016,Porsche,911 Targa 4S,3.8,6,18,26,21
2016,Porsche,911 Turbo,3.8,6,17,24,20
2016,Porsche,911 Turbo Cabriolet,3.8,6,17,24,20
2016,Porsche,911 Turbo S,3.8,6,17,24,20
2016,Porsche,911 Turbo S Cabriolet,3.8,6,17,24,20
2016,SCION,FR-S,2.0,4,25,34,28
2016,SCION,FR-S,2.0,4,22,30,25
2016,Subaru,BRZ,2.0,4,25,34,28
2016,Subaru,BRZ,2.0,4,22,30,25
2016,Aston Martin Lagonda Ltd,Rapide S,6.0,12,14,22,17
2016,Audi,A3,1.8,4,23,33,27
2016,Audi,A3 Cabriolet,1.8,4,24,35,28
2016,Audi,A3 Cabriolet quattro,2.0,4,23,32,26
2016,Audi,A3 quattro,2.0,4,24,33,27
2016,Audi,A5 Cabriolet quattro,2.0,4,21,29,24
2016,Audi,A5 quattro,2.0,4,21,30,25
2016,Audi,A5 quattro,2.0,4,22,32,26
2016,Audi,S3,2.0,4,23,31,26
2016,Audi,S5,3.0,6,18,28,21
2016,Audi,S5,3.0,6,17,26,20
2016,Audi,S5 Cabriolet,3.0,6,18,26,21
2016,Audi,TT Coupe quattro,2.0,4,23,30,26
2016,Audi,TTS Coupe,2.0,4,23,27,25
2016,Bentley,Continental GT Convertible,4.0,8,14,24,17
2016,Bentley,Continental GT Convertible,6.0,12,12,20,15
2016,BMW,228i,2.0,4,23,35,27
2016,BMW,228i,2.0,4,22,34,26
2016,BMW,228i Convertible,2.0,4,23,34,27
2016,BMW,228i xDrive,2.0,4,23,35,27
2016,BMW,228i xDrive Convertible,2.0,4,22,34,26
2016,BMW,428i Convertible,2.0,4,23,34,27
2016,BMW,428i xDrive Convertible,2.0,4,21,33,25
2016,BMW,435i Convertible,3.0,6,20,31,24
2016,BMW,435i xDrive Convertible,3.0,6,20,29,23
2016,BMW,640i Convertible,3.0,6,20,31,24
2016,BMW,640i Coupe,3.0,6,20,31,24
2016,BMW,640i xDrive Convertible,3.0,6,20,29,23
2016,BMW,640i xDrive Coupe,3.0,6,20,29,23
2016,BMW,650i Convertible,4.4,8,17,25,20
2016,BMW,650i Coupe,4.4,8,17,25,20
2016,BMW,650i xDrive Convertible,4.4,8,15,24,18
2016,BMW,650i xDrive Coupe,4.4,8,16,25,19
2016,BMW,M2,3.0,6,20,27,23
2016,BMW,M2,3.0,6,18,26,21
2016,BMW,M235i,3.0,6,20,31,24
2016,BMW,M235i,3.0,6,19,28,22
2016,BMW,M235i Convertible,3.0,6,20,31,24
2016,BMW,M235i Convertible,3.0,6,19,26,22
2016,BMW,M235i xDrive,3.0,6,20,30,23
2016,BMW,M235i xDrive Convertible,3.0,6,20,30,23
2016,BMW,M4 Convertible,3.0,6,17,24,19
2016,BMW,M4 Convertible,3.0,6,17,26,20
2016,BMW,M6 Convertible,4.4,8,14,20,16
2016,BMW,M6 Convertible,4.4,8,15,22,17
2016,BMW,M6 Coupe,4.4,8,14,20,16
2016,BMW,M6 Coupe,4.4,8,15,22,17
2016,Buick,CASCADA,1.6,4,20,27,23
2016,Chevrolet,SPARK,1.4,4,31,41,35
2016,Chevrolet,SPARK,1.4,4,30,41,34
2016,Ford,Fiesta FWD,1.6,4,27,37,31
2016,Ford,Fiesta FWD,1.6,4,28,36,31
2016,Ford,Fiesta SFE FWD,1.0,3,31,43,36
2016,Ford,MUSTANG,2.3,4,21,32,25
2016,Ford,MUSTANG,2.3,4,22,31,25
2016,Ford,MUSTANG,3.7,6,19,28,22
2016,Ford,MUSTANG,3.7,6,17,28,21
2016,Ford,MUSTANG,5.0,8,16,25,19
2016,Ford,MUSTANG,5.0,8,15,25,19
2016,Ford,MUSTANG CONVERTIBLE,2.3,4,20,29,24
2016,Ford,MUSTANG CONVERTIBLE,5.0,8,15,24,18
2016,Ford,SHELBY GT350 MUSTANG,5.2,8,14,21,16
2016,HYUNDAI MOTOR COMPANY,Genesis Coupe,3.8,6,16,25,19
2016,HYUNDAI MOTOR COMPANY,Genesis Coupe,3.8,6,17,24,19
2016,LEXUS,RC 200t,2.0,4,22,32,26
2016,LEXUS,RC 300 AWD,3.5,6,19,26,21
2016,LEXUS,RC 350,3.5,6,19,28,22
2016,LEXUS,RC 350 AWD,3.5,6,19,26,21
2016,LEXUS,RC F,5.0,8,16,25,19
2016,MASERATI,GRANTURISMO,4.7,8,13,21,16
2016,MASERATI,GRANTURISMO CONVERTIBLE,4.7,8,13,20,15
2016,Mercedes-Benz,E 400 (convertible),3.0,6,20,29,24
2016,Mercedes-Benz,E 400 (coupe),3.0,6,20,29,24
2016,Mercedes-Benz,E 400 4MATIC (coupe),3.0,6,20,28,23
2016,Mercedes-Benz,E 550 (convertible),4.7,8,17,26,20
2016,Mercedes-Benz,E 550 (coupe),4.7,8,18,26,21
2016,Mini,MINI COOPER HARDTOP 2 DOOR,1.5,4,27,37,31
2016,Mini,MINI COOPER HARDTOP 2 DOOR,1.5,4,28,39,32
2016,Mini,MINI COOPER HARDTOP 4 DOOR,1.5,4,27,37,31
2016,Mini,MINI COOPER HARDTOP 4 DOOR,1.5,4,29,39,33
2016,Mini,Mini Cooper S Hardtop 2 door,2.0,4,26,33,29
2016,Mini,Mini Cooper S Hardtop 2 door,2.0,4,23,33,27
2016,Mini,Mini Cooper S Hardtop 4 door,2.0,4,26,33,29
2016,Mini,Mini Cooper S Hardtop 4 door,2.0,4,23,33,27
2016,Mini,MINI John Cooper Works Hardtop,2.0,4,25,31,28
2016,Mini,MINI John Cooper Works Hardtop,2.0,4,23,31,26
2016,NISSAN,GT-R,3.8,6,16,22,19
2016,Roush,Roush Stage 3 Mustang,5.0,8,13,23,16
2016,Roush,Roush Stage 3 Mustang,5.0,8,12,23,16
2016,SCION,iA,1.5,4,33,42,37
2016,SCION,iA,1.5,4,31,41,35
2016,Volkswagen,Beetle Convertible,1.8,4,25,34,28
2016,Volkswagen,Beetle Convertible,2.0,4,23,31,26
2016,Volkswagen,Beetle Convertible,2.0,4,23,31,26
2016,Volkswagen,Eos,2.0,4,22,30,25
2016,Acura,ILX,2.4,4,25,36,29
2016,Acura,TLX 2WD,2.4,4,24,35,28
2016,Acura,TLX 2WD,3.5,6,21,34,25
2016,Acura,TLX 4WD,3.5,6,21,31,25
2016,Audi,A4,2.0,4,24,31,27
2016,Audi,A4 quattro,2.0,4,21,30,25
2016,Audi,A4 quattro,2.0,4,22,32,26
2016,Audi,Q3,2.0,4,20,29,23
2016,Audi,Q3 quattro,2.0,4,20,28,23
2016,Audi,S4,3.0,6,18,28,21
2016,Audi,S4,3.0,6,17,26,20
2016,Bentley,Continental GT,4.0,8,15,25,19
2016,Bentley,Continental GT,6.0,12,12,21,15
2016,BMW,320i,2.0,4,24,36,28
2016,BMW,320i,2.0,4,23,36,28
2016,BMW,320i xDrive,2.0,4,23,35,27
2016,BMW,328d,2.0,4,32,42,36
2016,BMW,328d xDrive,2.0,4,30,40,34
2016,BMW,328i,2.0,4,23,35,27
2016,BMW,328i,2.0,4,22,34,26
2016,BMW,328i xDrive,2.0,4,22,34,26
2016,BMW,340i,3.0,6,22,33,26
2016,BMW,340i,3.0,6,20,30,23
2016,BMW,340i xDrive,3.0,6,22,33,26
2016,BMW,340i xDrive,3.0,6,20,29,23
2016,BMW,428i Coupe,2.0,4,23,35,27
2016,BMW,428i Coupe,2.0,4,22,34,26
2016,BMW,428i Gran Coupe,2.0,4,23,34,27
2016,BMW,428i xDrive Coupe,2.0,4,22,34,26
2016,BMW,428i xDrive Gran Coupe,2.0,4,22,34,26
2016,BMW,435i Coupe,3.0,6,20,31,24
2016,BMW,435i Coupe,3.0,6,20,30,23
2016,BMW,435i Gran Coupe,3.0,6,20,31,24
2016,BMW,435i xDrive Coupe,3.0,6,20,30,23
2016,BMW,435i xDrive Coupe,3.0,6,19,28,22
2016,BMW,435i xDrive Gran Coupe,3.0,6,20,30,23
2016,BMW,640i Gran Coupe,3.0,6,20,31,24
2016,BMW,640i xDrive Gran Coupe,3.0,6,20,29,23
2016,BMW,650i Gran Coupe,4.4,8,17,25,20
2016,BMW,650i xDrive Gran Coupe,4.4,8,15,24,18
2016,BMW,Alpina B6 Gran Coupe xDrive,4.4,8,15,24,18
2016,BMW,M3,3.0,6,17,24,19
2016,BMW,M3,3.0,6,17,26,20
2016,BMW,M4 Coupe,3.0,6,17,24,19
2016,BMW,M4 Coupe,3.0,6,17,26,20
2016,BMW,M6 Gran Coupe,4.4,8,14,20,16
2016,BMW,M6 Gran Coupe,4.4,8,15,22,17
2016,Buick,VERANO,2.0,4,21,30,24
2016,Buick,VERANO,2.0,4,20,31,24
2016,Buick,VERANO,2.4,4,21,32,25
2016,Cadillac,ATS,2.0,4,22,31,26
2016,Cadillac,ATS,2.0,4,20,29,23
2016,Cadillac,ATS,2.5,4,22,32,26
2016,Cadillac,ATS,3.6,6,20,30,24
2016,Cadillac,ATS AWD,2.0,4,22,30,25
2016,Cadillac,ATS AWD,3.6,6,19,28,22
2016,Cadillac,ATS-V,3.6,6,16,24,19
2016,Cadillac,ATS-V,3.6,6,17,23,19
2016,Chevrolet,CAMARO,2.0,4,22,31,25
2016,Chevrolet,CAMARO,2.0,4,21,30,24
2016,Chevrolet,CAMARO,3.6,6,19,28,23
2016,Chevrolet,CAMARO,3.6,6,18,27,21
2016,Chevrolet,CAMARO,6.2,8,17,28,20
2016,Chevrolet,CAMARO,6.2,8,16,25,19
2016,Chevrolet,CRUZE,1.4,4,30,42,35
2016,Chevrolet,CRUZE,1.4,4,29,41,33
2016,Chevrolet,CRUZE PREMIER,1.4,4,30,40,34
2016,Chevrolet,SONIC,1.4,4,27,37,31
2016,Chevrolet,SONIC,1.4,4,29,40,33
2016,Chevrolet,SONIC,1.8,4,24,35,28
2016,Chevrolet,SONIC,1.8,4,26,35,30
2016,Chevrolet,SONIC RS,1.4,4,25,33,28
2016,Chevrolet,SONIC RS,1.4,4,27,34,30
2016,Ford,Fiesta ST FWD,1.6,4,26,33,29
2016,Ford,FOCUS FWD,1.0,3,28,40,32
2016,Ford,FOCUS FWD,1.0,3,30,42,35
2016,Ford,FOCUS FWD,2.0,4,27,40,31
2016,Ford,FOCUS FWD,2.0,4,26,38,30
2016,Ford,FOCUS FWD,2.0,4,26,36,30
2016,Ford,Focus FWD FFV,2.0,4,27,40,31
2016,Ford,Focus FWD FFV,2.0,4,26,38,30
2016,Ford,Focus FWD FFV,2.0,4,26,36,30
2016,Honda,CIVIC 2Dr,1.5,4,31,41,35
2016,Honda,CIVIC 2Dr,2.0,4,30,41,34
2016,Honda,CIVIC 2Dr,2.0,4,26,38,31
2016,HYUNDAI MOTOR COMPANY,Accent,1.6,4,26,37,30
2016,HYUNDAI MOTOR COMPANY,Accent,1.6,4,27,38,31
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,27,33,29
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,28,36,31
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,25,33,28
2016,HYUNDAI MOTOR COMPANY,Veloster,1.6,4,27,35,30
2016,INFINITI,Q50 HYBRID,3.5,6,28,34,30
2016,INFINITI,Q50 HYBRID AWD,3.5,6,27,31,28
2016,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,30,25
2016,KIA MOTORS CORPORATION,Forte Koup,1.6,4,22,29,25
2016,KIA MOTORS CORPORATION,Forte Koup,2.0,4,25,34,28
2016,KIA MOTORS CORPORATION,Forte Koup,2.0,4,24,33,27
2016,KIA MOTORS CORPORATION,Rio,1.6,4,27,37,31
2016,KIA MOTORS CORPORATION,Rio,1.6,4,27,38,31
2016,KIA MOTORS CORPORATION,Rio ECO,1.6,4,28,37,31
2016,LEXUS,CT 200h,1.8,4,43,40,42
2016,LEXUS,GS F,5.0,8,16,24,19
2016,LEXUS,IS 200t,2.0,4,22,33,26
2016,LEXUS,IS 300 AWD,3.5,6,19,26,21
2016,LEXUS,IS 350,3.5,6,19,28,22
2016,LEXUS,IS 350 AWD,3.5,6,19,26,21
2016,MAZDA,CX-3 2WD,2.0,4,29,35,31
2016,MAZDA,CX-3 4WD,2.0,4,27,32,29
2016,MAZDA,MAZDA 2,1.5,4,33,43,37
2016,MAZDA,MAZDA 2,1.5,4,31,42,35
2016,MAZDA,MAZDA3 4-Door,2.0,4,30,41,34
2016,MAZDA,MAZDA3 4-Door,2.0,4,29,41,33
2016,MAZDA,MAZDA3 4-Door,2.5,4,29,40,33
2016,MAZDA,MAZDA3 4-Door,2.5,4,28,39,32
2016,MAZDA,MAZDA3 4-Door,2.5,4,25,37,29
2016,Mercedes-Benz,AMG C 63,4.0,8,18,25,20
2016,Mercedes-Benz,AMG C 63 S,4.0,8,18,25,20
2016,Mercedes-Benz,AMG CLA 45 4MATIC,2.0,4,23,31,26
2016,Mercedes-Benz,AMG CLS 63 S 4MATIC,5.5,8,16,22,18
2016,Mercedes-Benz,AMG S 63 4MATIC (coupe),5.5,8,15,23,18
2016,Mercedes-Benz,AMG S 65 (coupe),6.0,12,13,20,15
2016,Mercedes-Benz,C 300,2.0,4,25,34,28
2016,Mercedes-Benz,C 300 4MATIC,2.0,4,24,31,27
2016,Mercedes-Benz,C 450 AMG,3.0,6,21,29,24
2016,Mercedes-Benz,CLA 250,2.0,4,26,38,30
2016,Mercedes-Benz,CLA 250 4MATIC,2.0,4,24,33,27
2016,Mercedes-Benz,CLA 250 4MATIC,2.0,4,24,33,27
2016,Mercedes-Benz,CLS 400,3.0,6,20,30,24
2016,Mercedes-Benz,CLS 400 4MATIC,3.0,6,19,26,22
2016,Mercedes-Benz,CLS 550,4.7,8,17,26,21
2016,Mercedes-Benz,CLS 550 4MATIC,4.7,8,17,25,20
2016,Mercedes-Benz,S 550 4MATIC (coupe),4.7,8,16,24,19
2016,Mini,Mini Cooper Countryman,1.6,4,25,30,27
2016,Mini,Mini Cooper Countryman,1.6,4,27,32,29
2016,Mini,Mini Cooper Paceman,1.6,4,25,30,27
2016,Mini,Mini Cooper Paceman,1.6,4,27,32,29
2016,Mini,Mini Cooper S Countryman,1.6,4,25,32,28
2016,Mini,Mini Cooper S Countryman,1.6,4,26,32,29
2016,Mini,Mini Cooper S Countryman All4,1.6,4,23,30,26
2016,Mini,Mini Cooper S Countryman All4,1.6,4,25,31,27
2016,Mini,Mini Cooper S Paceman,1.6,4,25,32,28
2016,Mini,Mini Cooper S Paceman,1.6,4,26,32,29
2016,Mini,Mini Cooper S Paceman ALL4,1.6,4,23,30,26
2016,Mini,Mini Cooper S Paceman ALL4,1.6,4,25,31,27
2016,Mini,Mini JCW Countryman ALL4,1.6,4,23,30,26
2016,Mini,Mini JCW Countryman ALL4,1.6,4,25,31,27
2016,Mini,Mini JCW Paceman ALL4,1.6,4,23,30,26
2016,Mini,Mini JCW Paceman ALL4,1.6,4,25,31,27
2016,Mitsubishi Motors Corporation,LANCER,2.0,4,27,35,30
2016,Mitsubishi Motors Corporation,LANCER,2.0,4,24,34,28
2016,Mitsubishi Motors Corporation,LANCER,2.4,4,24,31,27
2016,Mitsubishi Motors Corporation,LANCER,2.4,4,22,31,25
2016,Mitsubishi Motors Corporation,LANCER 4WD,2.4,4,23,31,26
2016,NISSAN,VERSA,1.6,4,26,35,30
2016,NISSAN,VERSA,1.6,4,31,40,35
2016,NISSAN,VERSA,1.6,4,27,36,30
2016,Rolls-Royce Motor Cars Limited,Dawn,6.6,12,12,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Coupe,6.7,12,11,19,14
2016,Rolls-Royce Motor Cars Limited,Phantom Drophead Coupe,6.7,12,11,19,14
2016,SCION,tC,2.5,4,23,31,26
2016,SCION,tC,2.5,4,23,31,26
2016,Subaru,IMPREZA,2.0,4,28,37,31
2016,Subaru,IMPREZA,2.0,4,25,34,28
2016,Subaru,WRX,2.0,4,18,24,21
2016,Subaru,WRX,2.0,4,20,27,23
2016,Subaru,WRX,2.5,4,17,23,19
2016,TOYOTA,PRIUS c,1.5,4,53,46,50
